lens_name,focal_length_wide,focal_length_tele,f_stop,year,min_focus_distance,max_magnification,weight,weight_class,length,aperture_ring,autofocus,category,macro,price
9mm,9mm,5.6,2020,12cm,0.21x,350g,🍎 Light,66mm,✅ Yes,❌ No,Ultra Wide,❌ No,$600,
10mm,10mm,2.8,2024,12cm,0.24x,320g,🧃 Moderate,73mm,✅ Yes,✅ Yes,Ultra Wide,⭐️ Almost,$799,
11mm,11mm,4.5,2020,7.4cm,0.1x,253g,🍎 Light,64mm,✅ Yes,❌ No,Ultra Wide,❌ No,$550,
12mm,24mm,2.8,2020,28cm,0.14x,847g,🧱 Very Heavy,138mm,❌ None,✅ Yes,Wide Zoom,❌ No,$3000,
14mm,14mm,1.4,2023,30cm,0.08x,1170g,🐘 Ultraheavy,153mm,✅ Yes,✅ Yes,Ultra Wide,❌ No,$1600,
15mm,15mm,1.4,2024,39cm,0.06x,1360g,🐘 Ultraheavy,161mm,✅ Yes,✅ Yes,Ultra Wide,❌ No,$1959,
16mm,16mm,1.8,2025,13cm,0.3x,304g,🍎 Light,75mm,✅ Yes,✅ Yes,Ultra Wide,⭐️ Almost,$849,
17mm,28mm,2.8,2019,19cm,0.19x,420g,🧃 Moderate,99mm,❌ None,✅ Yes,Wide Zoom,❌ No,$800,
18mm,18mm,2.8,2019,25cm,0.09x,145g,🪶 Ultralight,61mm,❌ None,✅ Yes,Ultra Wide,❌ No,$330,
20mm,20mm,1.4,2018,27.6cm,0.14x,950g,🧱 Very Heavy,157mm,❌ None,✅ Yes,Wide,❌ No,$900,
21mm,21mm,1.4,2019,25cm,—,559g,📕 Medium Heavy,81mm,✅ Yes,❌ No,Wide,❌ No,$1050,
24mm,24mm,1.4,2018,24cm,0.17x,344g,🧃 Moderate,93mm,✅ Yes,✅ Yes,Wide,❌ No,$1400,
25mm,25mm,2.8,2018,17.3cm,5x,400g,🧃 Moderate,65mm,✅ Yes,❌ No,Wide,✅ Yes,$400,
28mm,28mm,1.2,2023,50cm,0.073x,562g,📕 Medium Heavy,106mm,✅ Yes,❌ No,Wide,❌ No,$600,
35mm,35mm,0.95,2021,50cm,0.1x,755g,🧱 Very Heavy,78mm,✅ Yes,❌ No,35mm,❌ No,$650,
40mm,40mm,1.2,2020,35cm,0.16x,339g,🍎 Light,52.9mm,✅ Yes,❌ No,Normal,❌ No,$900,
45mm,45mm,0.95,2021,50cm,0.12x,835g,🧱 Very Heavy,77mm,✅ Yes,❌ No,Normal,❌ No,$600,
50mm,50mm,1.2,2021,40cm,0.17x,778g,🧱 Very Heavy,109mm,✅ Yes,✅ Yes,Normal,❌ No,$2000,
55mm,55mm,1.8,2013,50cm,0.14x,281g,🍎 Light,72mm,❌ None,✅ Yes,Normal,❌ No,$1000,
58mm,58mm,2.8,2022,18.5cm,2x,594g,📕 Medium Heavy,75mm,✅ Yes,❌ No,Normal,✅ Yes,$500,
60mm,600mm,4.5-6.3,2023,35cm,0.42x,2484g,🐘 Ultraheavy,281mm,❌ None,✅ Yes,Super Zoom,⭐️ Almost,$2000,
65mm,65mm,2,2020,55cm,0.15x,305g,🧃 Moderate,78mm,✅ Yes,✅ Yes,Normal,❌ No,$700,
70mm,200mm,2.8,2021,40cm,0.3x,1044g,🐘 Ultraheavy,200mm,✅ Yes,✅ Yes,Tele Zoom,⭐️ Almost,$2800,
75mm,75mm,1.8,2020,69cm,0.13x,229g,🐥 Very Light,70mm,❌ None,✅ Yes,Portrait,❌ No,$330,
85mm,85mm,1.4,2016,85cm,0.12x,819g,🧱 Very Heavy,109mm,✅ Yes,✅ Yes,Portrait,❌ No,$1800,
90mm,90mm,2.8,2015,28cm,1x,601g,📕 Medium Heavy,131mm,❌ None,✅ Yes,Portrait,✅ Yes,$1100,
100mm,100mm,2.8,2017,57cm,0.14x,700g,📚 Heavy,118mm,✅ Yes,✅ Yes,Portrait,❌ No,$1500,
105mm,105mm,1.4,2018,100cm,0.12x,1644g,🐘 Ultraheavy,159mm,❌ None,✅ Yes,Portrait,❌ No,$1550,
110mm,110mm,2.5,2018,35cm,1x,770g,🧱 Very Heavy,100mm,✅ Yes,❌ No,Portrait,✅ Yes,$1100,
135mm,135mm,1.8,2019,70cm,0.25x,950g,🧱 Very Heavy,127mm,✅ Yes,✅ Yes,Portrait,⭐️ Almost,$2100,
150mm,600mm,5–6.3,2021,58cm,0.34x,2100g,🐘 Ultraheavy,266mm,❌ None,✅ Yes,Tele Zoom,⭐️ Almost,$1500,
200mm,600mm,5.6-6.3,2019,240cm,0.2x,2115g,🐘 Ultraheavy,318mm,❌ None,✅ Yes,Tele Zoom,❌ No,$2000,
300mm,300mm,2.8,2023,200cm,0.16x,1469g,🐘 Ultraheavy,266mm,✅ Yes,✅ Yes,Tele,❌ No,$5998,
400mm,800mm,6.3-8,2025,170cm,0.23x,2475g,🐘 Ultraheavy,140mm,❌ None,✅ Yes,Tele Zoom,⭐️ Almost,$3299,
500mm,500mm,5.6,2024,320cm,0.17x,1365g,🐘 Ultraheavy,238mm,✅ Yes,✅ Yes,Long Tele,❌ No,$2799,
600mm,600mm,4,2019,350cm,0.14x,3039g,🐘 Ultraheavy,449mm,❌ None,✅ Yes,Long Tele,❌ No,$13000,
85mm,85mm,1.8,2017,80cm,0.13x,370g,🍎 Light,83mm,❌ None,✅ Yes,Portrait,❌ No,$600,
90mm,90mm,2.8,2015,28cm,1x,601g,📕 Medium Heavy,131mm,❌ None,✅ Yes,Portrait,✅ Yes,$1100,
